Peak_66746	10387645
Peak_18721	10635992
Peak_25860	1067682
Peak_68978	1067682
Peak_19319	1068516
Peak_24518	1068516
Peak_24039	1079493
Peak_25265	1079493
Peak_38063	1079493
Peak_22117	10815054
Peak_27572	10815054
Peak_43861	10815054
Peak_175431	109239921
Peak_84108	109239921
Peak_84468	109239921
Peak_97456	109239921
Peak_35231	109776912
Peak_22132	109783295
Peak_117942	109792238
Peak_55713	109793856
Peak_241640	109796913
Peak_53083	109796913
Peak_21150	109823849
Peak_38930	109877222
Peak_45586	109895846
Peak_22362	109931171
Peak_53123	109934389
Peak_46314	109959914
Peak_27423	110084338
Peak_74077	110084338
Peak_38740	110209882
Peak_6600	110209882
Peak_52866	110464371
Peak_110996	110477002
Peak_13124	110477002
Peak_29574	110478308
Peak_18431	110507777
Peak_198636	110507777
Peak_75075	110507777
Peak_16792	111110257
Peak_208194	111990883
Peak_23900	111990883
Peak_50078	111990883
Peak_29242	112394180
Peak_32494	1124797
Peak_106662	1125097
Peak_127062	1125097
Peak_147597	112998809
Peak_25823	112998809
Peak_39695	113216739
Peak_13453	1136406
Peak_77259	114346150
Peak_18461	1144096
Peak_239339	1144096
Peak_41520	1144096
Peak_73391	1144096
Peak_78446	1144096
Peak_22657	1149943
Peak_294460	1149943
Peak_13897	1157884
Peak_45609	1157884
Peak_243591	116242661
Peak_55633	116242661
Peak_105145	116243643
Peak_118944	116243643
Peak_38191	116311986
Peak_205443	116418252
Peak_22115	116418252
Peak_27725	116853702
Peak_84469	116879421
Peak_42697	117231845
Peak_29643	117562627
Peak_31430	117562627
Peak_18625	117570872
Peak_20239	117570872
Peak_79629	117590339
Peak_13618	117591272
Peak_19422	117632297
Peak_22508	117632297
Peak_107791	117674518
Peak_36462	117675033
Peak_144149	120180016
Peak_207492	120180016
Peak_47851	12148405
Peak_74553	12161708
Peak_8880	12161708
Peak_144629	12527540
Peak_23894	12527540
Peak_28980	12528337
Peak_207234	12539957
Peak_53259	12539957
Peak_66219	12539957
Peak_107784	12549648
Peak_89207	12549648
Peak_42519	12618970
Peak_28718	12619891
